test_acc,nfeat,max_alpha,emissions
0.6923,10.0,0.5,0.0004323522876765
0.6923,10.0,0.5,0.0004561322345456
0.6923,10.0,0.5,0.0004396172944562
0.6923,10.0,0.5,0.0004453012334283
0.6923,10.0,0.5,0.0004365011642548
0.6923,10.0,0.5,0.000437490433772
0.6923,10.0,0.5,0.0004496729403584
0.6923,10.0,0.5,0.0004472297978527
0.6923,10.0,0.5,0.0004521319605588
0.6923,10.0,0.5,0.0004473421892813
0.6923,10.0,0.5,0.0004389649668822
0.6923,10.0,0.5,0.0004477707278596
0.6923,10.0,0.5,0.0004319875465235
0.6923,10.0,0.5,0.0004403961788296
0.6923,10.0,0.5,0.0004302161005677
0.6923,10.0,0.5,0.0004563158613378
0.6923,10.0,0.5,0.0004553075172798
0.6923,10.0,0.5,0.0004483144821239
0.6923,10.0,0.5,0.0004288109991191
0.6923,10.0,0.5,0.0004338864782903
